i0,if,y0,z0,yf,zf
0,8,0.5,-19.0,0.5,-10.578947368421053
0,24,0.5,-19.0,1.5,-14.789473684210527
0,28,0.5,-19.0,1.5,-10.578947368421053
0,41,0.5,-19.0,2.5,-17.94736842105263
0,58,0.5,-19.0,2.5,-0.05263157894736992
0,61,0.5,-19.0,3.5,-17.94736842105263
0,83,0.5,-19.0,4.5,-15.842105263157894
0,85,0.5,-19.0,4.5,-13.736842105263158
0,89,0.5,-19.0,4.5,-9.526315789473685
1,0,0.5,-17.94736842105263,0.5,-19.0
1,23,0.5,-17.94736842105263,1.5,-15.842105263157894
1,27,0.5,-17.94736842105263,1.5,-11.631578947368421
1,41,0.5,-17.94736842105263,2.5,-17.94736842105263
1,42,0.5,-17.94736842105263,2.5,-16.894736842105264
1,63,0.5,-17.94736842105263,3.5,-15.842105263157894
1,64,0.5,-17.94736842105263,3.5,-14.789473684210527
1,80,0.5,-17.94736842105263,4.5,-19.0
1,88,0.5,-17.94736842105263,4.5,-10.578947368421053
1,92,0.5,-17.94736842105263,4.5,-6.368421052631579
1,95,0.5,-17.94736842105263,4.5,-3.2105263157894743
2,7,0.5,-16.894736842105264,0.5,-11.631578947368421
2,9,0.5,-16.894736842105264,0.5,-9.526315789473685
2,23,0.5,-16.894736842105264,1.5,-15.842105263157894
2,31,0.5,-16.894736842105264,1.5,-7.421052631578949
2,33,0.5,-16.894736842105264,1.5,-5.315789473684211
2,37,0.5,-16.894736842105264,1.5,-1.1052631578947363
2,41,0.5,-16.894736842105264,2.5,-17.94736842105263
2,53,0.5,-16.894736842105264,2.5,-5.315789473684211
2,58,0.5,-16.894736842105264,2.5,-0.05263157894736992
2,62,0.5,-16.894736842105264,3.5,-16.894736842105264
2,68,0.5,-16.894736842105264,3.5,-10.578947368421053
2,74,0.5,-16.894736842105264,3.5,-4.2631578947368425
2,77,0.5,-16.894736842105264,3.5,-1.1052631578947363
2,85,0.5,-16.894736842105264,4.5,-13.736842105263158
2,88,0.5,-16.894736842105264,4.5,-10.578947368421053
2,95,0.5,-16.894736842105264,4.5,-3.2105263157894743
3,32,0.5,-15.842105263157894,1.5,-6.368421052631579
3,38,0.5,-15.842105263157894,1.5,-0.05263157894736992
3,51,0.5,-15.842105263157894,2.5,-7.421052631578949
3,82,0.5,-15.842105263157894,4.5,-16.894736842105264
3,85,0.5,-15.842105263157894,4.5,-13.736842105263158
4,28,0.5,-14.789473684210527,1.5,-10.578947368421053
4,29,0.5,-14.789473684210527,1.5,-9.526315789473685
4,31,0.5,-14.789473684210527,1.5,-7.421052631578949
4,35,0.5,-14.789473684210527,1.5,-3.2105263157894743
4,36,0.5,-14.789473684210527,1.5,-2.157894736842106
4,37,0.5,-14.789473684210527,1.5,-1.1052631578947363
4,41,0.5,-14.789473684210527,2.5,-17.94736842105263
4,44,0.5,-14.789473684210527,2.5,-14.789473684210527
4,53,0.5,-14.789473684210527,2.5,-5.315789473684211
4,56,0.5,-14.789473684210527,2.5,-2.157894736842106
4,57,0.5,-14.789473684210527,2.5,-1.1052631578947363
4,68,0.5,-14.789473684210527,3.5,-10.578947368421053
4,82,0.5,-14.789473684210527,4.5,-16.894736842105264
4,86,0.5,-14.789473684210527,4.5,-12.68421052631579
5,23,0.5,-13.736842105263158,1.5,-15.842105263157894
5,24,0.5,-13.736842105263158,1.5,-14.789473684210527
5,27,0.5,-13.736842105263158,1.5,-11.631578947368421
5,30,0.5,-13.736842105263158,1.5,-8.473684210526317
5,33,0.5,-13.736842105263158,1.5,-5.315789473684211
5,36,0.5,-13.736842105263158,1.5,-2.157894736842106
5,41,0.5,-13.736842105263158,2.5,-17.94736842105263
5,45,0.5,-13.736842105263158,2.5,-13.736842105263158
5,47,0.5,-13.736842105263158,2.5,-11.631578947368421
5,51,0.5,-13.736842105263158,2.5,-7.421052631578949
5,65,0.5,-13.736842105263158,3.5,-13.736842105263158
5,67,0.5,-13.736842105263158,3.5,-11.631578947368421
5,77,0.5,-13.736842105263158,3.5,-1.1052631578947363
5,81,0.5,-13.736842105263158,4.5,-17.94736842105263
5,85,0.5,-13.736842105263158,4.5,-13.736842105263158
5,87,0.5,-13.736842105263158,4.5,-11.631578947368421
5,94,0.5,-13.736842105263158,4.5,-4.2631578947368425
5,95,0.5,-13.736842105263158,4.5,-3.2105263157894743
6,20,0.5,-12.68421052631579,1.5,-19.0
6,22,0.5,-12.68421052631579,1.5,-16.894736842105264
6,25,0.5,-12.68421052631579,1.5,-13.736842105263158
6,32,0.5,-12.68421052631579,1.5,-6.368421052631579
6,46,0.5,-12.68421052631579,2.5,-12.68421052631579
6,49,0.5,-12.68421052631579,2.5,-9.526315789473685
6,59,0.5,-12.68421052631579,2.5,1.0
6,68,0.5,-12.68421052631579,3.5,-10.578947368421053
6,70,0.5,-12.68421052631579,3.5,-8.473684210526317
6,84,0.5,-12.68421052631579,4.5,-14.789473684210527
6,85,0.5,-12.68421052631579,4.5,-13.736842105263158
6,87,0.5,-12.68421052631579,4.5,-11.631578947368421
6,94,0.5,-12.68421052631579,4.5,-4.2631578947368425
7,20,0.5,-11.631578947368421,1.5,-19.0
7,23,0.5,-11.631578947368421,1.5,-15.842105263157894
7,28,0.5,-11.631578947368421,1.5,-10.578947368421053
7,29,0.5,-11.631578947368421,1.5,-9.526315789473685
7,31,0.5,-11.631578947368421,1.5,-7.421052631578949
7,35,0.5,-11.631578947368421,1.5,-3.2105263157894743
7,42,0.5,-11.631578947368421,2.5,-16.894736842105264
7,45,0.5,-11.631578947368421,2.5,-13.736842105263158
7,47,0.5,-11.631578947368421,2.5,-11.631578947368421
7,51,0.5,-11.631578947368421,2.5,-7.421052631578949
7,55,0.5,-11.631578947368421,2.5,-3.2105263157894743
7,67,0.5,-11.631578947368421,3.5,-11.631578947368421
7,89,0.5,-11.631578947368421,4.5,-9.526315789473685
7,93,0.5,-11.631578947368421,4.5,-5.315789473684211
8,12,0.5,-10.578947368421053,0.5,-6.368421052631579
8,21,0.5,-10.578947368421053,1.5,-17.94736842105263
8,24,0.5,-10.578947368421053,1.5,-14.789473684210527
8,27,0.5,-10.578947368421053,1.5,-11.631578947368421
8,32,0.5,-10.578947368421053,1.5,-6.368421052631579
8,37,0.5,-10.578947368421053,1.5,-1.1052631578947363
8,44,0.5,-10.578947368421053,2.5,-14.789473684210527
8,61,0.5,-10.578947368421053,3.5,-17.94736842105263
8,64,0.5,-10.578947368421053,3.5,-14.789473684210527
