i0,if,y0,z0,yf,zf
0,1,0.5,-19.0,0.5,-17.94736842105263
0,2,0.5,-19.0,0.5,-16.894736842105264
0,4,0.5,-19.0,0.5,-14.789473684210527
0,5,0.5,-19.0,0.5,-13.736842105263158
0,20,0.5,-19.0,1.5,-19.0
0,22,0.5,-19.0,1.5,-16.894736842105264
0,23,0.5,-19.0,1.5,-15.842105263157894
0,24,0.5,-19.0,1.5,-14.789473684210527
0,25,0.5,-19.0,1.5,-13.736842105263158
0,40,0.5,-19.0,2.5,-19.0
0,41,0.5,-19.0,2.5,-17.94736842105263
0,61,0.5,-19.0,3.5,-17.94736842105263
0,83,0.5,-19.0,4.5,-15.842105263157894
1,0,0.5,-17.94736842105263,0.5,-19.0
1,23,0.5,-17.94736842105263,1.5,-15.842105263157894
1,41,0.5,-17.94736842105263,2.5,-17.94736842105263
1,42,0.5,-17.94736842105263,2.5,-16.894736842105264
1,63,0.5,-17.94736842105263,3.5,-15.842105263157894
1,64,0.5,-17.94736842105263,3.5,-14.789473684210527
1,80,0.5,-17.94736842105263,4.5,-19.0
2,7,0.5,-16.894736842105264,0.5,-11.631578947368421
2,23,0.5,-16.894736842105264,1.5,-15.842105263157894
2,41,0.5,-16.894736842105264,2.5,-17.94736842105263
2,62,0.5,-16.894736842105264,3.5,-16.894736842105264
2,85,0.5,-16.894736842105264,4.5,-13.736842105263158
3,82,0.5,-15.842105263157894,4.5,-16.894736842105264
3,85,0.5,-15.842105263157894,4.5,-13.736842105263158
4,28,0.5,-14.789473684210527,1.5,-10.578947368421053
4,29,0.5,-14.789473684210527,1.5,-9.526315789473685
4,41,0.5,-14.789473684210527,2.5,-17.94736842105263
4,44,0.5,-14.789473684210527,2.5,-14.789473684210527
4,68,0.5,-14.789473684210527,3.5,-10.578947368421053
4,82,0.5,-14.789473684210527,4.5,-16.894736842105264
4,86,0.5,-14.789473684210527,4.5,-12.68421052631579
5,23,0.5,-13.736842105263158,1.5,-15.842105263157894
5,24,0.5,-13.736842105263158,1.5,-14.789473684210527
5,27,0.5,-13.736842105263158,1.5,-11.631578947368421
5,30,0.5,-13.736842105263158,1.5,-8.473684210526317
5,41,0.5,-13.736842105263158,2.5,-17.94736842105263
5,45,0.5,-13.736842105263158,2.5,-13.736842105263158
5,47,0.5,-13.736842105263158,2.5,-11.631578947368421
5,65,0.5,-13.736842105263158,3.5,-13.736842105263158
5,67,0.5,-13.736842105263158,3.5,-11.631578947368421
5,81,0.5,-13.736842105263158,4.5,-17.94736842105263
5,85,0.5,-13.736842105263158,4.5,-13.736842105263158
5,87,0.5,-13.736842105263158,4.5,-11.631578947368421
6,22,0.5,-12.68421052631579,1.5,-16.894736842105264
6,25,0.5,-12.68421052631579,1.5,-13.736842105263158
